Workstream,Year,Worktype,Series,FTE Multiplier,FTEs,Selected Returns,Workstream(2),Filter By Year,Filter By Worktype,Filter By Series
FLD_EXAM,Y-2011,BRTF1065,S-0340,0.000218,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0340
FLD_EXAM,Y-2011,BRTF1065,S-0343,0.000177,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0343
FLD_EXAM,Y-2011,BRTF1065,S-0344,0.00015,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0344
FLD_EXAM,Y-2011,BRTF1065,S-0356,0.000005,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0356
FLD_EXAM,Y-2011,BRTF1065,S-0399,0.000025,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0399
FLD_EXAM,Y-2011,BRTF1065,S-0501,0.000163,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0501
FLD_EXAM,Y-2011,BRTF1065,S-0503,0.000252,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0503
FLD_EXAM,Y-2011,BRTF1065,S-0512,0.01,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0512
FLD_EXAM,Y-2011,BRTF1065,S-0560,0.000002,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0560
FLD_EXAM,Y-2011,BRTF1065,S-0592,0.000329,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0592
FLD_EXAM,Y-2011,BRTF1065,S-0599,0.000036,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0599
FLD_EXAM,Y-2011,BRTF1065,S-0905,0.000003,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0905
FLD_EXAM,Y-2011,BRTF1065,S-0962,0.000001,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0962
FLD_EXAM,Y-2011,BRTF1065,S-0986,0,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0986
FLD_EXAM,Y-2011,BRTF1065,S-0987,0.000002,0,0,FLD_EXAM,Y-2011,BRTF1065,S-0987
FLD_EXAM,Y-2011,BRTF1065,S-1035,0.000002,0,0,FLD_EXAM,Y-2011,BRTF1065,S-1035
FLD_EXAM,Y-2011,BRTF1065,S-1169,0.000007,0,0,FLD_EXAM,Y-2011,BRTF1065,S-1169
FLD_EXAM,Y-2011,BRTF1065,S-1515,0.000001,0,0,FLD_EXAM,Y-2011,BRTF1065,S-1515
FLD_EXAM,Y-2011,BRTF1065,S-1802,0,0,0,FLD_EXAM,Y-2011,BRTF1065,S-1802
FLD_EXAM,Y-2011,BRTF1065,S-2210,0.000013,0,0,FLD_EXAM,Y-2011,BRTF1065,S-2210
FLD_EXAM,Y-2011,BRTF10651,S-0080,0.000006,0.0273926845372205,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0080
FLD_EXAM,Y-2011,BRTF10651,S-0201,0.000003,0.0136963422686102,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0201
FLD_EXAM,Y-2011,BRTF10651,S-0203,0.000003,0.0136963422686102,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0203
FLD_EXAM,Y-2011,BRTF10651,S-0260,0.000003,0.0136963422686102,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0260
FLD_EXAM,Y-2011,BRTF10651,S-0301,0.000318,1.45181228047268,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0301
FLD_EXAM,Y-2011,BRTF10651,S-0303,0.001585,7.23623416524907,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0303
FLD_EXAM,Y-2011,BRTF10651,S-0304,0.000019,0.0867435010345315,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0304
FLD_EXAM,Y-2011,BRTF10651,S-0305,0.000067,0.305884977332295,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0305
FLD_EXAM,Y-2011,BRTF10651,S-0313,0.000006,0.0273926845372205,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0313
FLD_EXAM,Y-2011,BRTF10651,S-0318,0.011647,53.1737661341678,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0318
FLD_EXAM,Y-2011,BRTF10651,S-0322,0.000029,0.132397975263232,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0322
FLD_EXAM,Y-2011,BRTF10651,S-0326,0.000181,0.826345983539484,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0326
FLD_EXAM,Y-2011,BRTF10651,S-0335,0.000185,0.844607773230964,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0335
FLD_EXAM,Y-2011,BRTF10651,S-0340,0.001668,7.61516630134729,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0340
FLD_EXAM,Y-2011,BRTF10651,S-0343,0.001353,6.17705036314321,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0343
FLD_EXAM,Y-2011,BRTF10651,S-0344,0.001149,5.24569908887772,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0344
FLD_EXAM,Y-2011,BRTF10651,S-0356,0.000038,0.173487002069063,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0356
FLD_EXAM,Y-2011,BRTF10651,S-0399,0.000194,0.885696800036795,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0399
FLD_EXAM,Y-2011,BRTF10651,S-0501,0.001248,5.69767838374186,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0501
FLD_EXAM,Y-2011,BRTF10651,S-0503,0.001926,8.79305173644777,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0503
FLD_EXAM,Y-2011,BRTF10651,S-0512,0.076514,349.320644113481,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0512
FLD_EXAM,Y-2011,BRTF10651,S-0560,0.000016,0.0730471587659212,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0560
FLD_EXAM,Y-2011,BRTF10651,S-0592,0.002521,11.5094929530555,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0592
FLD_EXAM,Y-2011,BRTF10651,S-0599,0.000274,1.2509325938664,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0599
FLD_EXAM,Y-2011,BRTF10651,S-0905,0.000022,0.100439843303142,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0905
FLD_EXAM,Y-2011,BRTF10651,S-0962,0.00001,0.0456544742287008,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0962
FLD_EXAM,Y-2011,BRTF10651,S-0986,0.000003,0.0136963422686102,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0986
FLD_EXAM,Y-2011,BRTF10651,S-0987,0.000013,0.059350816497311,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-0987
FLD_EXAM,Y-2011,BRTF10651,S-1035,0.000013,0.059350816497311,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-1035
FLD_EXAM,Y-2011,BRTF10651,S-1169,0.000051,0.232837818566374,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-1169
FLD_EXAM,Y-2011,BRTF10651,S-1515,0.00001,0.0456544742287008,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-1515
FLD_EXAM,Y-2011,BRTF10651,S-1802,0.000003,0.0136963422686102,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-1802
FLD_EXAM,Y-2011,BRTF10651,S-2210,0.000102,0.465675637132748,4565.44742287008,FLD_EXAM,Y-2011,BRTF10651,S-2210
FLD_EXAM,Y-2011,BRTF10652,S-0080,0.000004,0.01591070567107,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0080
FLD_EXAM,Y-2011,BRTF10652,S-0201,0.000002,0.00795535283553498,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0201
FLD_EXAM,Y-2011,BRTF10652,S-0203,0.000002,0.00795535283553498,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0203
FLD_EXAM,Y-2011,BRTF10652,S-0260,0.000002,0.00795535283553498,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0260
FLD_EXAM,Y-2011,BRTF10652,S-0301,0.000187,0.743825490122521,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0301
FLD_EXAM,Y-2011,BRTF10652,S-0303,0.000933,3.71117209777707,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0303
FLD_EXAM,Y-2011,BRTF10652,S-0304,0.000011,0.0437544405954424,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0304
FLD_EXAM,Y-2011,BRTF10652,S-0305,0.000039,0.155129380292932,3977.67641776749,FLD_EXAM,Y-2011,BRTF10652,S-0305
