Workstream,Year,Series,FTEs,Filter By Workstream,Filter By Year,Filter By Series
FLD_EXAM,Y-2013,S-0343,25.2541288844409,FLD_EXAM,Y-2013,S-0343
FLD_EXAM,Y-2013,S-0344,17.374703926712,FLD_EXAM,Y-2013,S-0344
FLD_EXAM,Y-2013,S-0356,0.579706535844397,FLD_EXAM,Y-2013,S-0356
FLD_EXAM,Y-2013,S-0399,2.92992142876911,FLD_EXAM,Y-2013,S-0399
FLD_EXAM,Y-2013,S-0501,18.8697679961112,FLD_EXAM,Y-2013,S-0501
FLD_EXAM,Y-2013,S-0503,35.9456119599235,FLD_EXAM,Y-2013,S-0503
FLD_EXAM,Y-2013,S-0512,1428.16798024047,FLD_EXAM,Y-2013,S-0512
FLD_EXAM,Y-2013,S-0560,0.241467447166231,FLD_EXAM,Y-2013,S-0560
FLD_EXAM,Y-2013,S-0592,47.0590308386741,FLD_EXAM,Y-2013,S-0592
FLD_EXAM,Y-2013,S-0599,4.14937602292627,FLD_EXAM,Y-2013,S-0599
FLD_EXAM,Y-2013,S-0905,0.338168101987837,FLD_EXAM,Y-2013,S-0905
FLD_EXAM,Y-2013,S-0962,0.15025949341278,FLD_EXAM,Y-2013,S-0962
FLD_EXAM,Y-2013,S-0986,0.0535588385911744,FLD_EXAM,Y-2013,S-0986
FLD_EXAM,Y-2013,S-0987,0.187908608575057,FLD_EXAM,Y-2013,S-0987
FLD_EXAM,Y-2013,S-1035,0.187908608575057,FLD_EXAM,Y-2013,S-1035
FLD_EXAM,Y-2013,S-1169,0.773584722030419,FLD_EXAM,Y-2013,S-1169
FLD_EXAM,Y-2013,S-1515,0.15025949341278,FLD_EXAM,Y-2013,S-1515
FLD_EXAM,Y-2013,S-1802,0.0535588385911744,FLD_EXAM,Y-2013,S-1802
FLD_EXAM,Y-2013,S-2210,1.54256912185843,FLD_EXAM,Y-2013,S-2210
FLD_EXAM,Y-2014,S-0080,0.083227561836056,FLD_EXAM,Y-2014,S-0080
FLD_EXAM,Y-2014,S-0201,0.0338257556298357,FLD_EXAM,Y-2014,S-0201
FLD_EXAM,Y-2014,S-0203,0.0338257556298357,FLD_EXAM,Y-2014,S-0203
FLD_EXAM,Y-2014,S-0260,0.0338257556298357,FLD_EXAM,Y-2014,S-0260
FLD_EXAM,Y-2014,S-0301,3.88981506840244,FLD_EXAM,Y-2014,S-0301
FLD_EXAM,Y-2014,S-0303,14.9312706752375,FLD_EXAM,Y-2014,S-0303
FLD_EXAM,Y-2014,S-0304,0.220659156991569,FLD_EXAM,Y-2014,S-0304
FLD_EXAM,Y-2014,S-0305,0.807050101523009,FLD_EXAM,Y-2014,S-0305
FLD_EXAM,Y-2014,S-0313,0.083227561836056,FLD_EXAM,Y-2014,S-0313
FLD_EXAM,Y-2014,S-0318,109.761588014361,FLD_EXAM,Y-2014,S-0318
FLD_EXAM,Y-2014,S-0322,0.343677594824355,FLD_EXAM,Y-2014,S-0322
FLD_EXAM,Y-2014,S-0326,2.17854086709823,FLD_EXAM,Y-2014,S-0326
FLD_EXAM,Y-2014,S-0335,2.20797350515078,FLD_EXAM,Y-2014,S-0335
FLD_EXAM,Y-2014,S-0340,15.7190397660045,FLD_EXAM,Y-2014,S-0340
FLD_EXAM,Y-2014,S-0343,12.7508515219126,FLD_EXAM,Y-2014,S-0343
FLD_EXAM,Y-2014,S-0344,10.8238605858071,FLD_EXAM,Y-2014,S-0344
FLD_EXAM,Y-2014,S-0356,0.45227851198994,FLD_EXAM,Y-2014,S-0356
FLD_EXAM,Y-2014,S-0399,2.32075971542108,FLD_EXAM,Y-2014,S-0399
FLD_EXAM,Y-2014,S-0501,11.7544693943315,FLD_EXAM,Y-2014,S-0501
FLD_EXAM,Y-2014,S-0503,18.1572041765019,FLD_EXAM,Y-2014,S-0503
FLD_EXAM,Y-2014,S-0512,721.079850788313,FLD_EXAM,Y-2014,S-0512
FLD_EXAM,Y-2014,S-0560,0.18693731359802,FLD_EXAM,Y-2014,S-0560
FLD_EXAM,Y-2014,S-0592,23.7569425627029,FLD_EXAM,Y-2014,S-0592
FLD_EXAM,Y-2014,S-0599,3.28043116671077,FLD_EXAM,Y-2014,S-0599
FLD_EXAM,Y-2014,S-0905,0.265897768238482,FLD_EXAM,Y-2014,S-0905
FLD_EXAM,Y-2014,S-0962,0.107895044866678,FLD_EXAM,Y-2014,S-0962
FLD_EXAM,Y-2014,S-0986,0.0338257556298357,FLD_EXAM,Y-2014,S-0986
FLD_EXAM,Y-2014,S-0987,0.152554988121622,FLD_EXAM,Y-2014,S-0987
FLD_EXAM,Y-2014,S-1035,0.152554988121622,FLD_EXAM,Y-2014,S-1035
